url;date_published;time_published;author;description;title;complexity;themes;links;full_text
https://nplus1.ru/news/2025/04/02/social-memory-effect;02.04.25;19:24;Катерина Петрова;"Механическая клешня не помогла человекообразным приматам запомнить объекты
Но взрослые обезьяны запомнили башни, построенные человеческой рукой";Механическая клешня не помогла человекообразным приматам запомнить объекты;2.7;Зоология;https://nplus1.ru/news/2018/09/12/chimps-vs-toddlers, https://www.cell.com/current-biology/fulltext/S0960-9822(05)00093-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS096098220500093X%3Fshowall%3Dtrue, https://www.sciencedirect.com/science/article/pii/S0003347225000089?via=ihub%20https://www.sciencedirect.com/science/article/pii/S0003347225000089?via=ihub, https://www.nature.com/articles/srep40926;"Приматологи из Австралии, Германии и США обнаружили, что только взрослые приматы лучше запоминают предметы, с которыми взаимодействует человек, а не механическая клешня. Этот эффект они объяснили повышенным вниманием к социальному контексту, на который указывала пониженная частота сердечных сокращений. Исследование опубликовано в журнале Animal Behaviour.
2 апреля отмечается Всемирный день информирования об аутизме, поэтому сегодня новости на N + 1 выходят с иллюстрациями от студентов «Антон тут рядом». Этот благотворительный фонд уже больше десяти лет помогает людям с расстройствами аутистического спектра в России
Жизнь в группах требует особой чувствительности к социальным стимулам — и многие приматы обладают такой чувствительностью. Они отличают лица от других стимулов уже с рождения, а во взрослом возрасте быстрее идентифицируют и обрабатывают социальные стимулы. Иногда обезьяны даже отказываются от вознаграждения, чтобы смотреть на фото или видео с сородичами вместо фото и видео, на которых нет обезьян. 
Кроме того, социальные стимулы лучше запоминаются — даже если речь не о представителях своего вида. В одном исследовании шимпанзе, гориллам и капуцинам показывали видео, на которых человеческая рука или механическая клешня строят башню из трех блоков. После этого обезьянам показывали изображение этой башни рядом с изображением новой, чтобы узнать, запомнили ли они увиденное ранее — считалось что тот, кто запомнил, должен был дольше разглядывать незнакомую башню. Тогда ученые выяснили, что обезьяны запоминают только те башни, которые собирала человеческая рука. Аналогичный эффект социального контекста на память обнаруживается у детей уже с 9 месяцев. Однако не до конца ясно, какие когнитивные механизмы лежат в его основе.
Мари Падберг (Marie Padberg) из Института эволюционной антропологии Общества Макса Планка и ее коллеги из Австралии, Германии и США провели такой же эксперимент с четырьмя видами человекообразных обезьян — 5 гориллами, 21 шимпанзе, 10 бонобо и 6 орангутанами в возрасте от 3 месяцев до 47 лет. Все приматы содержались в Центре изучения приматов имени Вольфганга Кёлера в Лейпциге. Пока обезьяны смотрели видео с человеческой рукой или механической клешней, строящими пирамидку, ученые записывали частоту сердечных сокращений (высокая частота говорит о возбуждении, а низкая — о более высоком внимании).
Во время тестов взрослые обезьяны дольше смотрели на изображении башен, которые были на видео (63 процента всего времени), но только в тех случаях, если их строила человеческая рука. В несоциальных условиях они не проявляли явного предпочтения. Молодые особи до пяти лет не реагировали на знакомые башни, независимо от контекста. Также частота сердечных сокращений у взрослых особей была выше базового уровня в социальном контексте и ниже — в несоциальным. У младенцев такого эффекта не наблюдалось, а у подростков частота сердечных сокращений слегка увеличивалась в обоих условиях. 
Дополнительно ученые протестировали обезьян спустя два дня, чтобы оценить долговременную память, но тогда и молодые, и взрослые обезьяны не выделяли ни одну из башен. 
Таким образом, ученым удалось повторить результаты предыдущего исследования на большей выборке и новых видах приматов. Также они показали, что частота сердечных сокращений у взрослых особей уменьшается в социальном контексте — а значит, они становятся более внимательными. По всей видимости, это усиленное внимание и позволяет обезьянам запомнить увиденное.
То, что молодые особи не продемонстрировали подобного запоминания, может говорить о том, что социальные стимулы, не связанные с конспецификами, становятся приоритетными для этих четырех видов не с рождения. В то время как взрослые обезьяны в Центре часто взаимодействуют с людьми, молодые особи гораздо больше времени проводят со своими матерями. Другое объяснение заключается в том, что используемый тест просто не подходил для детенышей, а стимулы были слишком сложными или нерелевантными.
Ранее мы рассказывали о том, что дети от восьми месяцев до двух лет используют для общения те же жесты, что и человекообразные приматы.
Он напоминал ловчий лист венериной мухоловки
Палеонтологи описали необычный вид паразитоидных ос из позднемелового бирманского янтаря. Он получил название Sirenobethylus charybdis. Брюшко у этой осы было преобразовано в трехстворчатую структуру, напоминающую ловчий лист венериной мухоловки. Вероятно, этот орган представлял собой капкан, с помощью которого древняя оса хватала и удерживала подвижных насекомых, таких как мухи. Пойманной жертве она с помощью яйцеклада вводила в тело собственное яйцо (из которого впоследствии появлялась личинка, заживо съедавшая хозяина) — а затем отпускала ее. Как отмечается в статье для журнала BMC Biology, ни у одного современного вида перепончатокрылых или других насекомых нет даже отдаленно похожих органов."
https://nplus1.ru/news/2025/04/05/fram-2-end;05.04.25;23:35;Александр Войтюк;"Завершился первый частный космический полет на полярную орбиту
Fram2 продлился 3,5 дня";Завершился первый частный космический полет на полярную орбиту;1.9;Космонавтика;https://spacenews.com/fram2-completes-polar-orbit-private-astronaut-mission/, https://nplus1.ru/news/2025/04/01/fram-2-start;"Частный космический полет Fram2 завершился днем четвертого апреля 2025 года успешным приводнением капсулы корабля Crew Dragon Resilience у побережья Калифорнии. После доставки капсулы на борт спасательного корабля все четыре члена экипажа смогли покинуть его без посторонней помощи. Полет продлился 3,5 дня и стал первым пилотируемым полетом на полярную орбиту с наклонением в 90 градусов. Он стал пятидесятым по счету пилотируемым полетом кораблей Crew Dragon.
За время Fram2 участники полета во главе с миллиардером Чуном Ваном провели ряд научных экспериментов, в том числе понаблюдали за полюсами Земли, получили первый рентгеновский снимок руки в космосе и провели эксперименты по исследованию мозга при помощи энцефалографии и непрерывному мониторингу уровня глюкозы в крови.
Дата запуска пока не объявлена
SpaceX провела 9 февраля 2025 года на космодроме Starbase в штате Техас прожиг первой ступени Starship для восьмого испытательного полета. Двигатели Raptor ускорителя Super Heavy с индексом B15 успешно отработали в течение необходимого времени. Точная дата полета на данный момент не объявлена, однако известно, что он состоится не ранее 24 февраля 2025 года. Эта дата указана в разрешении, выданном Федеральной комиссией по связи США."
https://nplus1.ru/news/2025/04/04/falcaria-bilineata;04.04.25;19:09;Сергей Коленов;"Вибрирующие гусеницы защитили от сородичей участки на кончиках листьев
Возможно, среди всех территориальных животных они обладают одними из самых маленьких участков";Вибрирующие гусеницы защитили от сородичей участки на кончиках листьев;4.1;Зоология;https://nplus1.ru/news/2017/02/28/caterpillars, https://journals.biologists.com/jeb/article/228/7/jeb249796/367459/Buzzing-boundaries-tiny-caterpillars-vibrate-to;"Энтомологи обнаружили, что гусеницы бабочек-серпокрылок Falcaria bilineata в первые дни жизни занимают участки на кончиках листьев кормовых растений и защищают их от сородичей, издавая вибрирующие сигналы. Таким образом, даже недавно появившиеся на свет беспозвоночные длиной менее двух миллиметров способны демонстрировать сложное территориальное поведение. При этом остается неясным, почему кончики листьев так важны для гусениц. Возможно, здесь удобнее кормиться - либо отсюда проще заметить приближающегося по поверхности листа хищника и сбежать от него. Результаты исследования опубликованы в статье для журнала Journal of Experimental Biology.
Для многих видов животных характерно территориальное поведение. Их представители занимают индивидуальный участок, богатый пищей или другими ресурсами, и маркируют его границы с помощью различных сигналов, например, химических меток или звуков. Если конкурент из числа сородичей игнорирует эти предупреждения и вторгается на чужую территорию, хозяин переходит к ее защите с помощью физической агрессии. Такой конфликт может закончится гибелью одного или обоих участников. Лучше всего территориальное поведение изучено на самцах, которые защищают участки с ресурсами, обеспечивающими им возможность спариться с самками и оставить потомство. Это могут быть, в частности, богатые добычей охотничьи угодья или подходящие места для размножения. Однако известны и более необычные примеры территориального поведения.
Один из них решила подробнее изучить команда энтомологов под руководством Джейн Як (Jayne E. Yack) из Карлтонского университета. В центре внимания исследователей оказались североамериканские бабочки Falcaria bilineata из семейства серпокрылок (Drepanidae). Сразу после вылупления из яйца гусеницы этих насекомых перемещаются на лист кормового растения - березы (Betula) или ольхи (Alnus). В этот момент они достигают не более двух миллиметров в длину. Предыдущие исследования показали, что обычно на один лист березы или ольхи приходится всего по одной гусенице F. bilineata. Это заставило специалистов предположить, что с первых дней жизни эти насекомые демонстрируют территориальное поведение: они занимают индивидуальный участок на листе кормового растения и помечают его границы с помощью характерных для данного вида вибрирующих сигналов.
Чтобы проверить эту идею, Як и ее коллеги провели серию экспериментов с гусеницами F. bilineata , которые были выведены из яиц в лаборатории и перенесены в емкости с листьями березы бумажной (B. papyrifera). В опытах участвовали особи в возрасте от одного до трех дней. На первом этапе исследователи сажали по одной гусенице в возрасте до 24 часов в емкость с одним березовым листом. Спустя 12-24 часа они по следам кормления и наличию выстланной шелковыми нитями площадки определяли, на какой части листа обосновалась личинка. Оказалось, что чаще всего гусеницы F. bilineata занимают кончик листа (его выбрали 52 из 59 протестированных особей). Кроме того, 55 из 59 особей обосновались на верхней стороне листа. На следующем этапе авторы изучили видеозаписи перемещений 18 из 59 подопытных гусениц (их средняя продолжительность составила около восьми часов). Анализ роликов подтвердил, что гусеницы держатся на небольшой территории на конце березового листа, шириной около сантиметра. При этом кормятся они на расстоянии около 11,5 миллиметра от кончика листа, а сам кончик не объедают и оставляют зеленым; его они используют для отдыха. За пределы участка, ограниченного местом кормления, гусеницы не выходят. А больше всего времени они проводят в небольшой области площадью около восьми квадратных миллиметров.
Анализ видеозаписей также показал, что гусеницы F. bilineata производят два типа вибрирующих сигналов. Во-первых, личинки барабанят передней половиной тела (головой, грудью или головой и грудью одновременно) о поверхность листа. Средняя продолжительность таких сигналов составляет около 48,64 миллисекунды. Во-вторых, гусеницы производят жужжание. Для этого они сначала приподнимают голову и грудь и седьмой-десятый брюшные сегменты. Затем гусеницы начинают вибрировать головой и грудью, а кончик брюшка опускают и проводят им взад-вперед по листу, производя скрипящий звук с помощью пары веслообразных щетинок на анальном сегменте. После этого личинки снова приподнимают передний и задний концы тела и возвращаются в состояние покоя. Жужжание продолжается в среднем 243,51 миллисекунды. Хотя каждый тип сигналов может производиться независимо, обычно барабанный бой и жужжание сопровождают друг друга. 
На финальном этапе Як и ее коллеги проверили, будут ли гусеницы F. bilineata защищать свою территорию от конкурентов. Сначала исследователи в течение 30 минут регистрировали поведение 18 особей, владеющих участками на кончике листа, в спокойном состоянии. В течение этого периода гусеницы питались, отдыхали и время от времени издавали вибрирующие сигналы (в среднем по 1,64 в минуту). Затем на лист к каждому владельцу участка подсаживали сородича-чужака. Его размещали в трех-пяти сантиметрах от хозяина. После этого поведение обеих гусениц фиксировалось в течение дополнительных 30 минут.  
После того, как на одном листе с гусеницей-хозяйкой, но за пределами ее территории, оказывался конкурент, она прекращала кормиться и выделять шелковые нити и перемещалась на зеленый кончик листа - а частота ее сигналов увеличивалась в среднем до 6,92 в минуту. По мере того, как сородич приближался, владелец участка вибрировал все активнее. А в момент, когда конкурент вторгался на территорию хозяина, тот резко увеличивал частоту сигналов до 24,41 в минуту. Нарушитель также издавал вибрирующие сигналы, но со значительно меньшей частотой: 1,21 в минуту за пределами занятого участка и 2,55 в минуту внутри него. Во время споров за территорию гусеницы не кусали и не толкали друг друга. Тем не менее, в 44,4 процента случаев хозяин территории после телесного контакта с конкурентом спрыгивал с листа и повисал на шелковой нити. После этого нарушитель либо начинал кормиться на участке, покинутом владельцем, либо уходил (во втором случае хозяин участка мог вернуться на него). В 14 из 18 стычек авторы смогли определить явного победителя - особь, занимавшую участок через 30 минут после начала эксперимента. В 71,42 процента случаев это был владелец территории, а в 28.58 процента случаев - нарушитель.
Результаты исследования подтверждают, что гусеницы F. bilineata уже в первые дни жизни занимают участки на кончиках листьев и защищают их от сородичей, подавая им предупреждающие сигналы с помощью вибраций. Вероятно, такое поведение позволяет личинкам, появившимся из одной и той же кладки яиц, равномерно распределиться по кормовому растению. Это первый известный пример, когда насекомые удерживают территории на концах листьев. Кроме того, возможно, что среди всех территориальных животных юные особи F. bilineata обладают одними из самых маленьких участков. Почему гусеницы так дорожат кончиками листьев, неясно. Возможно, эти участки листьев более нежные и на них легче кормиться - либо отсюда проще заметить приближающегося по поверхности листа хищника и сбежать от него.
Общение гусениц не сводится к конфликтам из-за территории. Несколько лет назад энтомологи обнаружили, что гусеницы другого вида серпокрылок, Drepana arcuata, издают вибрации ротовым аппаратом и анальным сегментом, чтобы сообщить другим особям об источниках пищи и укрытиях.
Сейчас самке темноспинного альбатроса по имени Уиздом не меньше 74 лет
Самка темноспинного альбатроса по имени Уиздом, которая в свои 74 года считается самой старой дикой птицей в мире, в очередной раз стала матерью. В конце прошлого года она нашла нового партнера и впервые за четыре года отложила яйцо. А в феврале этого года, согласно сообщению тихоокеанского отделения Службы охраны рыбных ресурсов и диких животных США, у Уиздом вылупился птенец. Сейчас о нем по очереди заботятся оба родителя."
https://nplus1.ru/news/2025/04/04/b14-static-fire-test-before-lift9;04.04.25;18:38;Андрей Фокин;"SpaceX испытала двигатели уже летавшей первой ступени Starship
Первое повторное использование ускорителя Super Heavy запланировано в девятом испытательном полете системы";SpaceX испытала двигатели уже летавшей первой ступени Starship;1.4;Космонавтика;https://nplus1.ru/news/2025/01/17/starship-7-flight-result, https://x.com/SpaceX/status/1907876664274473132, https://nplus1.ru/news/2025/03/07/starship-8-end, https://nplus1.ru/news/2024/10/13/starship-5-flight-end;"SpaceX провела 3 апреля 2025 года прожиг уже летавшего прототипа многоразовой первой ступени Starship в рамках подготовки к следующему (девятому) запуску, дата которого еще не назначена. Компания планирует впервые повторно использовать ускоритель Super Heavy с индексом B14, который летал в седьмом испытательном полете и был успешно возвращен к месту старта. Прожиг длился около восьми секунд. Согласно сообщению компании, 29 из 33 установленных двигателей Raptor участвовали в предыдущем полете и будут использованы повторно.
Super Heavy — 71-метровая первая ступень двухкомпонентной многоразовой системы Starship. Профиль полета предполагает, что после отделения корабля, ускоритель совершает переворот и запуск части двигателей для торможения и изменения траектории, чтобы вернуться к месту старта. Спустившись к стартовому столу, Super Heavy на реактивной тяге садится на консоли крана-манипулятора на башне обслуживания и устанавливается снова на стартовый стол. На сегодняшний день SpaceX удалось успешно выполнить этот маневр уже трижды во время пятого, седьмого и восьмого испытательных полетов Starship.
Это может привести к новому переносу даты первого пуска
Вторые по счету огневые испытания двигателя второй ступени перспективной японской ракеты-носителя Epsilon S вновь закончились его взрывом. Причины аварии неясны и дата первого полета ракеты, скорее всего, будет вновь перенесена, сообщает Space.com."
https://nplus1.ru/news/2025/04/04/chinese-carbon-sinks;04.04.25;14:32;Марина Попова;"Китайские леса перестали быть источником парниковых газов
Этому способствовало многолетнее лесовосстановление на юго-востоке страны";Китайские леса перестали быть источником парниковых газов;1.9;Экология и климат;https://www.nature.com/articles/s41558-025-02296-z;"Покрытые лесами земли Китая с 1981 по 2020 годы поглотили два миллиарда тонн углерода из атмосферы. При этом в 1980-х такие ландшафты ежегодно выбрасывали от 100 до 280 миллионов тонн углерода, но начиная с 1990-х, благодаря программам лесовосстановления, выбросы быстро стали отрицательными. С выбросов парниковых газов на их преобладающее поглощение благодаря более устойчивому землепользованию переключилось более половины территории Китая. Такие оценки приведены в исследовании, опубликованном в журнале Nature Climate Change.
Ученые под руководством Чжу Якуня (Yakun Zhu) из Университета имени Сунь Ятсена сопоставили данные спутниковых наблюдений с результатами национальной инвентаризации лесов, чтобы понять, как масштабное лесовосстановление сказалось на углеродном балансе китайских земель. Они улучшили модель IBIS (Integrated Biosphere Simulator) и внедрили в нее региональные расчеты биомассы растительности и углеродных потоков. Из-за этого новая оценка углеродного баланса разошлась с предыдущими: если в 1980-х все модели отражают китайские леса как источники выбросов из-за обширных вырубок на севере и северо-западе страны, то начиная с 1990-х глобальные модели недооценивают эффект лесовосстановления на юге и юго-западе. Там было высажено 195 миллионов гектар леса, тогда как старые модели включали только 30 миллионов гектар. 
Это еще один природный механизм, противостоящий потеплению
Облака могут частично нивелировать последствия потепления за счет уменьшения нисходящего длинноволнового излучения. На примере обширной области Великих равнин их охлаждающий эффект составляет в среднем −1,77 ± 1,15 ватт на квадратный метр за десятилетие. Этот естественный стабилизирующий механизм характерен для участков над континентами между 60 градусами южной и северной широт и теперь может быть учтен в климатических моделях. Об этом говорится в статье, опубликованной в журнале Nature."
https://nplus1.ru/news/2025/04/04/mass-grave-of-roman-soldiers;04.04.25;12:36;Михаил Подрезов;"В Вене нашли массовое захоронение римских воинов
В общей могиле раскопали останки как минимум 129 человек";В Вене нашли массовое захоронение римских воинов;1.3;Археология, Антропология;https://magazin.wienmuseum.at/roemischer-sensationsfund-in-der-hasenleitengasse;"На окраине Вены обнаружили огромное коллективное захоронение римских воинов. Во время земляных работ при реконструкции спортивного объекта рабочие наткнулись на многочисленные человеческие кости, после чего этим объектом занялись археологи. Они выявили братскую могилу размером примерно 5 × 4,5 метра, в которую были беспорядочно свалены тела по меньшей мере 129 человек (возможно, до начала земляных работ и повреждения захоронения, здесь покоились останки по меньшей мере 150 человек). По предварительной оценке, скелеты принадлежали молодым мужчинам примерно 20–30 лет, убитым во время вооруженного конфликта. Как сообщается в статье из журнала Wien Museum Magazin, на костях каждого человека, чьи останки уже успели обследовать ученые, видны предсмертные повреждения, нанесенные различным оружием.
Помимо останков, исследователи также обнаружили кое-какие артефакты. Например, остатки железного ножа и его ножен, украшенных серебряной проволокой, гвозди от калиг — обуви римских солдат, а также нащечник от шлема. Радиоуглеродный анализ костей и типология артефактов позволили определить, что, скорее всего, коллективное захоронение датируется серединой I — началом II века нашей эры. По словам археолога Мартина Моссера (Martin Mosser), период между 50 и 120 годами нашей эры был относительно мирным в этом регионе. Но в письменных источниках есть сведения, что Домициан вел войны на Дунае против свевов, сарматов и даков. Возможно, братская могила, устроенная недалеко от военного лагеря Виндобона, связана как раз с одним из столкновений между римлянами и варварами.
Об этом говорят находки из Украины
Археологи описали артефакты из бивня мамонта, найденные во время исследований палеолитического местонахождения Меджибож, которое расположено на территории Украины. Ученые обнаружили больше двух десятков предметов, на некоторых из которых видны антропогенные следы. По предварительной оценке, возраст находок составляет около 400 тысяч лет, о чем сообщается в статье из International Journal of Osteoarchaeology."
https://nplus1.ru/news/2025/04/04/burial-of-buturlin;04.04.25;12:28;Михаил Подрезов;"Историки определили дату казни боярина Ивана Бутурлина
Он умер 22 октября 1575 года";Историки определили дату казни боярина Ивана Бутурлина;2.2;Археология, История;https://nplus1.ru/news/2024/12/24/new-gravestone, https://www.elibrary.ru/item.asp?id=29787283, https://search.rsl.ru/ru/record/01001634777, https://pifk.magtu.ru/doc/2025/1/all.pdf;"Российские историки определили дату смерти боярина Ивана Бутурлина, погребение которого вместе с надгробной плитой нашли в 2007 году в Троице-Сергиевой лавре. Ученые установили, что знатного мужчину, входившего в Боярскую думу, казнили 22 октября 1575 года, о чем не сообщалось в известных письменных источниках. Бутурлин был в числе лиц, попавших в опалу и казненных, в рамках дела об «измене» новгородского архиепископа Леонида. Результаты проведенного исследования опубликовали в журнале Проблемы истории, филологии и культуры.
При Иване IV Грозном репрессии не ограничивались периодом опричнины. Одна из историй развернулась после того, как в опалу царя попал Элизеус Бомелиус (Елисей Бомелий) — привезенный из Лондона придворный медик, колдун и авантюрист, который прибыв Россию в 1570 году первоначально обрел большое влияние на государя. Под пытками Бомелиус оклеветал ряд знатных людей и новгородского архиепископа Леонида, которого, как и самого авантюриста, обвинили в государственной измене, а заодно и в преступлениях против морали, мужеложестве и скотоложестве.
Леонид умер осенью 1575 года. По одной (более вероятной), он скончался в «вечном заточении» в Москве, по другой (менее вероятной) версии — его зашили в медвежью шкуру и отдали на растерзание собакам. Расследование дел об «измене» Бомелиуса и архиепископа привело к тому, что в том же году примерно четыре десятка людей лишились жизни, включая видных государственных деятелей и членов Боярской думы. Среди них, например, были князь Петр Андреевич Куракин и боярин Иван Андреевич Бутурлин. Последнего, возможно, казнили вместе с сыном и дочерью (на счет детей боярина в источниках есть противоречие) — не помогли ни былые заслуги, ни попытка спастись в монастыре, в котором Бутурлин постригся в монахи.
Благодаря недавним исследованиям, история боярина Ивана (в иноках — Иона) Бутурлина дополнилась небольшими подробностями, о которых не было известно из письменных источников. О них в своей новой статье рассказали Александр Авдеев (Aleksander Avdeev) из Православного Свято-Тихоновского гуманитарного университета и Ася Энговатова (Asya Engovatova) из Института археологии РАН. Еще в 2007 году во время исследований, проходивших в Троице-Сергиевой лавре, рядом с Успенским собором ученые обнаружили непотревоженное погребение XVI века, в котором покоились останки жертвы террора, учиненного Иваном Грозным. Это первое подобное захоронение, которое смогли обнаружить и изучить археологи.
В могиле лежал скелет взрослого мужчины, которому примерно за три месяца до смерти выбили многие зубы. Кроме того, на его шейном позвонке отчетливо видны следы казни через отсечение головы. Над захоронением мужчины археологи также нашли расколотую на несколько фрагментов часть надгробной плиты, изготовленной из белого камня. На ней сохранилась эпитафия (высеченная, видимо, уже после смерти Ивана Грозного), которая позволяет установить, кого и когда похоронили в этой могиле.
Ученые реконструировали частично утраченную надпись на плите и пришли к выводу, что, скорее всего, она посвящена кончине Ивана Андреевича Бутурлина 22 октября 1575 года (или 7084 года от Сотворения мира), о чем не было известно из других источников. По всей видимости, именно в этот день попавший в опалу Бутурлин был казнен на площади у Успенского собора Московского Кремля. Это говорит о том, что боярина казнили через два дня после гибели архиепископа Леонида и чуть более чем за месяц до гибели брата боярина — Дмитрия Андреевича, жизнь которого оборвалась 27 ноября, о чем сообщала ныне утраченная эпитафия.
Ранее на N + 1 рассказывали, как в Троице-Сергиевой лавре археологи сделали другую примечательную находку. Они обнаружили одно из старейших в Московской Руси подписных надгробий. Оно датируется концом XV века.
Их использовали во времена правления Птолемеев
Археологи обнаружили в древней деревне золотодобытчиков, располагавшейся в Аравийской пустыне, два набора железных кандалов. По всей видимости, такие оковы носили подневольные работники, трудившиеся на рудниках во времена правления династии Птолемеев. Об находках сообщается в статье, опубликованной в журнале Antiquity."
